Type,AmbientR,AmbientG,AmbientB,DiffuseR,DiffuseG,DiffuseB,SpecularR,SpecularG,SpecularB,SpecularA,PosX,PosY,PosZ,ToneCurveBegin,ToneCurveEnd,ToneCurveBlendRate,ID
PARALLEL,0.25,0.25,0.3,0.55,0.55,0.6,0.7,0.7,0.8,1,200,180,-200,0.35,0.5,0,29
PARALLEL,0.25,0.25,0.3,0.55,0.55,0.6,0.7,0.7,0.8,1,200,200,200,0.35,0.5,0,30
PARALLEL,0.25,0.25,0.3,0.55,0.55,0.6,0.7,0.7,0.8,1,200,180,-200,0.35,0.5,0,31
PARALLEL,0.25,0.25,0.3,0.55,0.55,0.6,0.7,0.7,0.8,1,200,180,-200,0.35,0.5,0,32
PARALLEL,0.25,0.25,0.3,0.55,0.55,0.6,0.7,0.7,0.8,1,200,180,-200,0.35,0.5,0,33
PARALLEL,0.25,0.25,0.3,0.55,0.55,0.6,0.7,0.7,0.8,1,200,180,-200,0.35,0.5,0,34
PARALLEL,,,,,,,1,0.9,1.1,1,,,,0.35,0.5,0,35
PARALLEL,0.3,0.3,0.4,0.8,0.7,0.8,1,0.9,1.1,1,-30,150,200,0.35,0.5,0,36
PARALLEL,0.3,0.3,0.4,0.8,0.7,0.8,1,0.9,1.1,1,-30,150,200,0.35,0.5,0,37
PARALLEL,0.3,0.3,0.4,0.8,0.7,0.8,1,0.9,1.1,1,-30,150,200,0.35,0.5,0,38
PARALLEL,0.3,0.3,0.4,0.8,0.7,0.8,1,0.9,1.1,1,-30,150,200,0.35,0.5,0,39
PARALLEL,0.3,0.3,0.4,0.8,0.7,0.8,1,0.9,1.1,1,-30,150,200,0.35,0.5,0,40
PARALLEL,0.3,0.3,0.4,0.8,0.7,0.8,1,0.9,1.1,1,-30,150,200,0.35,0.5,0,41
PARALLEL,0.3,0.3,0.4,0.8,0.7,0.8,1,0.9,1.1,1,-30,150,200,0.35,0.5,0,42
PARALLEL,0.3,0.3,0.4,0.8,0.7,0.8,1,0.9,1.1,1,-30,150,200,0.35,0.5,0,43
PARALLEL,0.3,0.3,0.4,0.8,0.7,0.8,1,0.9,1.1,1,-30,150,200,0.35,0.5,0,44
PARALLEL,0.3,0.3,0.4,0.8,0.7,0.8,1,0.9,1.1,1,-30,150,200,0.35,0.5,0,45
PARALLEL,0.3,0.3,0.4,0.8,0.7,0.8,1,0.9,1.1,1,-30,150,200,0.35,0.5,0,46
PARALLEL,0.3,0.3,0.4,0.8,0.7,0.8,1,0.9,1.1,1,-30,150,200,0.35,0.5,0,47
PARALLEL,0.3,0.3,0.4,0.8,0.7,0.8,1,0.9,1.1,1,-30,150,200,0.35,0.5,0,48
PARALLEL,0.3,0.3,0.4,0.8,0.7,0.8,1,0.9,1.1,1,-30,150,200,0.35,0.5,0,49
PARALLEL,0.3,0.3,0.4,0.8,0.7,0.8,1,0.9,1.1,1,-30,150,200,0.35,0.5,0,50
PARALLEL,0.3,0.3,0.4,0.8,0.7,0.8,1,0.9,1.1,1,-30,150,200,0.35,0.5,0,51
PARALLEL,0.3,0.3,0.4,0.8,0.7,0.8,1,0.9,1.1,1,-30,150,200,0.35,0.5,0,52
PARALLEL,0.3,0.3,0.4,0.8,0.7,0.8,1,0.9,1.1,1,-30,150,200,0.35,0.5,0,53
PARALLEL,0.3,0.3,0.4,0.8,0.7,0.8,1,0.9,1.1,1,-30,150,200,0.35,0.5,0,54
PARALLEL,0.3,0.3,0.4,0.8,0.7,0.8,1,0.9,1.1,1,-30,150,200,0.35,0.5,0,55
PARALLEL,0.3,0.3,0.4,0.8,0.7,0.8,1,0.9,1.1,1,-30,150,200,0.35,0.5,0,56
PARALLEL,0.3,0.3,0.4,0.8,0.7,0.8,1,0.9,1.1,1,-30,150,200,0.35,0.5,0,57
PARALLEL,0.3,0.3,0.4,0.8,0.7,0.8,1,0.9,1.1,1,-30,150,200,0.35,0.5,0,58
PARALLEL,0.3,0.3,0.4,0.8,0.7,0.8,1,0.9,1.1,1,-30,150,200,0.35,0.5,0,59
PARALLEL,0.3,0.3,0.4,0.8,0.7,0.8,1,0.9,1.1,1,-30,150,200,0.35,0.5,0,60
PARALLEL,0.3,0.3,0.4,0.8,0.7,0.8,1,0.9,1.1,1,-30,150,200,0.35,0.5,0,61
PARALLEL,0.3,0.3,0.4,0.8,0.7,0.8,1,0.9,1.1,1,-30,150,200,0.35,0.5,0,62
PARALLEL,0.3,0.3,0.4,0.8,0.7,0.8,1,0.9,1.1,1,-30,150,200,0.35,0.5,0,63
PARALLEL,0.3,0.3,0.4,0.8,0.7,0.8,1,0.9,1.1,1,-30,150,200,0.35,0.5,0,64
PARALLEL,0.3,0.3,0.4,0.8,0.7,0.8,1,0.9,1.1,1,-30,150,200,0.35,0.5,0,65
PARALLEL,0.3,0.3,0.4,0.8,0.7,0.8,1,0.9,1.1,1,-30,150,200,0.35,0.5,0,66
PARALLEL,0.3,0.3,0.4,0.8,0.7,0.8,1,0.9,1.1,1,-30,150,200,0.35,0.5,0,67
PARALLEL,0.3,0.3,0.4,0.8,0.7,0.8,1,0.9,1.1,1,-30,150,200,0.35,0.5,0,68
PARALLEL,0.3,0.3,0.4,0.8,0.7,0.8,1,0.9,1.1,1,-30,150,200,0.35,0.5,0,69
PARALLEL,0.3,0.3,0.4,0.8,0.7,0.8,1,0.9,1.1,1,-30,150,200,0.35,0.5,0,70
PARALLEL,0.3,0.3,0.4,0.8,0.7,0.8,1,0.9,1.1,1,-30,150,200,0.35,0.5,0,71
PARALLEL,0.3,0.3,0.4,0.8,0.7,0.8,1,0.9,1.1,1,-30,150,200,0.35,0.5,0,72
PARALLEL,0.3,0.3,0.4,0.8,0.7,0.8,1,0.9,1.1,1,-30,150,200,0.35,0.5,0,73
PARALLEL,0.3,0.3,0.4,0.8,0.7,0.8,1,0.9,1.1,1,-30,150,200,0.35,0.5,0,74
PARALLEL,0.3,0.3,0.4,0.8,0.7,0.8,1,0.9,1.1,1,-30,150,200,0.35,0.5,0,75
PARALLEL,0.3,0.3,0.4,0.8,0.7,0.8,1,0.9,1.1,1,-30,150,200,0.35,0.5,0,76
PARALLEL,0.2,0.2,0.3,0.6,0.5,0.6,1,0.9,1.1,1,-30,150,200,0.35,0.5,0,77
PARALLEL,0.2,0.2,0.3,0.6,0.5,0.6,1,0.9,1.1,1,-30,150,200,0.35,0.5,0,78
PARALLEL,0.2,0.2,0.3,0.6,0.5,0.6,1,0.9,1.1,1,-30,150,200,0.35,0.5,0,79
PARALLEL,0.2,0.2,0.3,0.6,0.5,0.6,1,0.9,1.1,1,-30,150,200,0.35,0.5,0,80
PARALLEL,0.2,0.2,0.3,0.6,0.5,0.6,1,0.9,1.1,1,-30,150,200,0.35,0.5,0,81
PARALLEL,0.2,0.2,0.3,0.6,0.5,0.6,1,0.9,1.1,1,-30,150,200,0.35,0.5,0,82
PARALLEL,0.2,0.2,0.3,0.6,0.5,0.6,1,0.9,1.1,1,-30,150,200,0.35,0.5,0,83
PARALLEL,0.2,0.2,0.3,0.6,0.5,0.6,1,0.9,1.1,1,-30,150,200,0.35,0.5,0,84
PARALLEL,0.2,0.2,0.3,0.6,0.5,0.6,1,0.9,1.1,1,-30,150,200,0.35,0.5,0,85
PARALLEL,0.2,0.2,0.3,0.6,0.5,0.6,1,0.9,1.1,1,-30,150,200,0.35,0.5,0,86
PARALLEL,0.2,0.2,0.3,0.6,0.5,0.6,1,0.9,1.1,1,-30,150,200,0.35,0.5,0,87
PARALLEL,0.2,0.2,0.3,0.6,0.5,0.6,1,0.9,1.1,1,-30,150,200,0.35,0.5,0,88
PARALLEL,0.2,0.2,0.3,0.6,0.5,0.6,1,0.9,1.1,1,-30,150,200,0.35,0.5,0,89
PARALLEL,0.2,0.2,0.3,0.6,0.5,0.6,1,0.9,1.1,1,-30,150,200,0.35,0.5,0,90
PARALLEL,0.2,0.2,0.3,0.6,0.5,0.6,1,0.9,1.1,1,-30,150,200,0.35,0.5,0,91
PARALLEL,0.2,0.2,0.3,0.6,0.5,0.6,1,0.9,1.1,1,-30,150,200,0.35,0.5,0,92
PARALLEL,0.2,0.2,0.3,0.6,0.5,0.6,1,0.9,1.1,1,-30,150,200,0.35,0.5,0,93
PARALLEL,0.2,0.2,0.3,0.6,0.5,0.6,1,0.9,1.1,1,-30,150,200,0.35,0.5,0,94
