ID,Focus,FocusRange,FuzzingRange,Ratio,Quality
83,5,10,2,1,1
84,2,2,2,0.1,1
85,0,2,2,1,1
86,0,2,2,1,1
87,2,2,2,0.1,1
88,2,2,2,1,1
89,0,2,2,1,1
90,0,2,2,1,1
91,2,2,2,1,1
92,2,2,2,0.1,1
93,2,2,2,0.1,1
94,0,2,2,1,1
95,2,2,2,0.1,1
96,2,2,2,1,1
97,2,2,2,0.1,1
98,2,2,2,1,1
99,2,2,2,0.1,1
100,0,2,2,1,1
101,2,2,2,1,1
102,2,2,2,0.1,1
103,2,2,2,0.3,1
104,2,2,2,0.3,1
105,2,2,2,1,1
106,2,2,2,0.1,1
107,2,2,2,1,1
108,0,2,2,1,1
109,2,2,2,0.1,1
110,2,2,2,1,1
111,2,2,2,0.1,1
112,0,2,2,1,1
113,2,2,2,0.6,1
114,2,2,2,0.1,1
115,2,2,2,1,1
116,2,2,2,0.1,1
117,0,2,2,1,1
118,2,2,2,0.1,1
119,0,2,2,1,1
120,2,2,2,0.1,1
121,2,2,2,1,1
122,2,2,2,1,1
123,2,2,2,0.5,1
124,2,2,2,0.5,1
125,2,2,2,0.5,1
126,2,2,2,0.1,1
127,0,2,2,1,1
128,2,2,2,0.1,1
129,2,2,2,1,1
130,2,2,2,0.1,1
131,2,2,2,1,1
132,2,2,2,0.1,1
133,2,2,2,0.6,1
134,2,2,2,0.6,1
135,2,2,2,0.5,1
136,2,2,2,1,1
137,2,2,2,1,1
138,2,2,2,1,1
139,2,2,2,0.1,1
140,2,2,2,1,1
141,2,2,2,0.1,1
142,2,2,2,0.3,1
143,2,2,2,0.3,1
144,2,2,2,0.1,1
145,2,2,2,1,1
146,0,2,2,1,1
147,2,2,2,0.3,1
148,0,2,2,1,1
149,2,2,2,0.3,1
150,2,2,2,0.7,1
151,2,2,2,0.7,1
152,2,2,2,0.1,1
153,2,2,2,0.7,1
154,2,2,2,0.7,1
155,2,2,2,0.1,1
156,2,2,2,0.5,1
157,2,2,2,0.7,1
158,0,2,2,1,1
159,2,2,2,0.1,1
160,2,2,2,1,1
161,2,2,2,0.7,1
162,2,2,2,1,1
163,2,2,2,0.1,1
164,2,2,2,0.7,1
165,2,2,2,0.3,1
166,0,2,2,1,1
167,2,2,2,0.7,1
168,2,2,2,0.1,1
169,2,2,2,1,1
170,2,2,2,0.8,1
171,2,2,2,0.1,1
172,2,2,2,0.7,1
173,2,2,2,0.1,1
174,2,2,2,0.2,1
175,2,2,2,0.7,1
176,2,2,2,0.7,1
177,2,2,2,0.2,1
178,2,2,2,0.7,1
179,2,2,2,0.5,1
180,2,2,2,1,1
181,2,2,2,0.2,1
182,2,2,2,0.2,1
183,0,2,2,1,1
184,2,2,2,0.7,1
185,2,2,2,1,1
186,2,2,2,0.2,1
187,2,2,2,0.7,1
188,2,2,2,0.1,1
189,2,2,2,0.5,1
190,2,2,2,0.5,1
191,2,2,2,0.5,1
192,2,2,2,1,1
193,2,2,2,0.7,1
194,2,2,2,1,1
195,2,2,2,1,1
196,2,2,2,0.7,1
197,0,2,2,1,1
198,2,2,2,0.1,1
199,2,2,2,0.1,1
200,2,2,2,0.1,1
201,2,2,2,0.1,1
202,2,2,2,0.1,1
203,5,3.5,2,1,1
204,0,2,2,1,1
205,2,2,2,0.1,1
206,0,2,2,1,1
207,2,2,2,0.3,1
208,2,0,2,0,1
209,2,2,2,1,1
210,2,2,2,0.1,1
211,0,2,2,1,1
212,2,0,2,0,1
213,2,0,2,0,1
214,2,0,2,0,1
215,2,0,2,0,1
216,2,2,2,1,1
217,2,0,2,0,1
218,2,2,2,0.8,1
219,2,2,2,0.5,1
220,2,2,2,1,1
221,2,2,2,0.1,1
222,2,0,2,0,1
223,2,2,2,0.8,1
224,2,0,2,0,1
225,2,2,2,1,1
226,2,2,2,1,1
227,2,2,2,1,1
228,2,0,2,0,1
229,2,0,2,0,1
230,2,0,2,0,1
231,2,0,2,0,1
232,2,0,2,0,1
233,2,0,2,0,1
234,2,0,2,0,1
235,2,0,2,0,1
236,2,0,2,0,1
237,2,0,2,0,1
238,2,0,2,0,1
239,2,0,2,0,1
240,2,0,2,0,1
241,2,0,2,0,1
242,2,0,2,0,1
243,2,0,2,0,1
244,2,0,2,0,1
245,2,0,2,0,1
246,2,0,2,0,1
247,2,0,2,0,1
248,2,0,2,0,1
249,2,0,2,0,1
250,2,0,2,0,1
251,2,0,2,0,1
252,2,0,2,0,1
253,2,0,2,0,1
254,2,0,2,0,1
255,2,0,2,0,1
256,2,0,2,0,1
257,2,0,2,0,1
258,2,0,2,0,1
259,2,0,2,0,1
260,2,0,2,0,1
261,2,0,2,0,1
262,2,0,2,0,1
263,2,0,2,0,1
264,2,0,2,0,1
265,2,0,2,0,1
266,2,0,2,0,1
267,2,0,2,0,1
268,2,0,2,0,1
269,2,0,2,0,1
270,2,0,2,0,1
